"id_name","event_date","false_creation_date_per_AF_year","creation_date_per_AF_year","id","name","yes_year","dates_yes","rsvp_yes_count","dates_yes_cumsum","days_to_event","yes_day","yes_month","dates_yes_otheryear","relative_today_cumsum","yes_year_factor"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-03-11,0,38,3,11,3,2020-03-11,38,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-03-12,1,39,2,12,3,2020-03-12,38,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-03-13,2,41,1,13,3,2020-03-13,38,"2015"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-01-29,16,16,43,29,1,2020-01-29,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-01-30,1,17,42,30,1,2020-01-30,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-01-31,0,17,41,31,1,2020-01-31,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-01,1,18,40,1,2,2020-02-01,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-02,0,18,39,2,2,2020-02-02,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-03,3,21,38,3,2,2020-02-03,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-04,1,22,37,4,2,2020-02-04,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-05,2,24,36,5,2,2020-02-05,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-06,2,26,35,6,2,2020-02-06,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-07,1,27,34,7,2,2020-02-07,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-08,3,30,33,8,2,2020-02-08,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-09,2,32,32,9,2,2020-02-09,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-10,3,35,31,10,2,2020-02-10,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-11,0,35,30,11,2,2020-02-11,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-12,0,35,29,12,2,2020-02-12,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-13,1,36,28,13,2,2020-02-13,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-14,1,37,27,14,2,2020-02-14,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-15,1,38,26,15,2,2020-02-15,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-16,5,43,25,16,2,2020-02-16,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-17,3,46,24,17,2,2020-02-17,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-18,6,52,23,18,2,2020-02-18,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-19,1,53,22,19,2,2020-02-19,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-20,0,53,21,20,2,2020-02-20,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-21,0,53,20,21,2,2020-02-21,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-22,1,54,19,22,2,2020-02-22,108,"2016"
"AF16",2016-03-12,"2016-01-29",2016-01-29,"228455037","Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",2016,2016-02-23,1,55,18,23,2,2020-02-23,108,"2016"
